Título;Preço;Taxa de Condomínio;IPTU;Área;Banheiros;Vagas na Garagem;Detalhes do Imóvel;Detalhes do Condominio;CEP;Município;Bairro;Logradouro;Quartos
Apto alto padrão Tirol;700000;1850;400;212;5 ou mais;2;Área de serviço, Armários embutidos, Armários na cozinha, Varanda, Quarto de serviço;Elevador, Condomínio fechado, Segurança 24h, Permitido animais, Portaria, Salão de festas;59022250;Natal;Tirol;Rua Dom José Tomaz;4
Apartamento à venda no Tirol (Natal/RN) I 63m² - 2 quartos;360000;660;2100;63;1;empty;Ar condicionado, Varanda, Mobiliado, Piscina, Churrasqueira, Academia;Piscina, Salão de festas, Academia, Segurança 24h, Elevador;59020100;Natal;Tirol;empty;2
Apartamento com 2 quartos à venda, 45 m² por R$ 332.990 - Ponta Negra - Natal/RN;332990;0;0;45;2;empty;Área de serviço, Churrasqueira, Piscina;Elevador, Piscina;59092550;Natal;Ponta Negra;Rua Professor Pedro Pinheiro de Souza;2
NATAL - Apartamento Padrão - Rocas;170000;340;31;43;1;1;empty;empty;59012500;Natal;Rocas;Avenida Marechal Floriano Peixoto;2
NATAL - Apartamento Padrão - Lagoa Nova;210000;500;1192;55;1;1;Área de serviço;empty;59063380;Natal;Lagoa Nova;Rua Sérgio Severo;2
RESID.INEZ FERNANDES>;680000;707;2300;108;4;2;Academia, Churrasqueira, Área de serviço, Piscina;Segurança 24h, Academia, Piscina, Salão de festas;59056450;Natal;Lagoa Nova;Avenida Nascimento de Castro - de 1041/1042 ao fim;3
Apartamento para venda com 92 metros quadrados com 3 quartos em Neópolis - Natal - RN;430000;555;0;92;3;2;Piscina, Churrasqueira, Área de serviço, Academia, Quarto de serviço, Ar condicionado, Varanda;Academia, Salão de festas, Permitido animais, Elevador, Piscina, Condomínio fechado, Portaria;59086005;Natal;Neópolis;Rua Lúcia Viveiros;3
Apartamento Espaçoso, Ventilado ,Bem Localizado em Capim Macio.;320000;500;147;80;3;1;Área de serviço, Varanda;empty;59082140;Natal;Capim Macio;Rua Desembargador José Gomes da Costa;3
Apartamento para Venda em Natal, Planalto, 2 dormitórios, 1 banheiro, 1 vaga;105000;250;0;54;1;1;empty;empty;59073100;Natal;Planalto;Rua Paracati;2
Flat para Venda em Natal, Ponta Negra, 1 dormitório, 1 banheiro, 1 vaga;210000;1000;1800;40;1;1;empty;empty;59090050;Natal;Ponta Negra;Rua Francisco Gurgel;1
Apartamento a venda de 2 quartos, sendo 1 suíte, com 49m², em Candelária - Natal/RN Ref.:1;229900;600;1450;49;2;1;Varanda, Piscina, Churrasqueira;Piscina;59064490;Natal;Candelária;Rua Ministro Mirabeau da Cunha Melo;2
RESIDENCIAL VILLA PARK;260000;0;0;10;1;empty;Academia, Varanda, Piscina, Churrasqueira, Área de serviço;Elevador, Salão de festas, Academia, Piscina;59091250;Natal;Ponta Negra;Rua Desportista Jeremias Pinheiro da Câmara Filho;2
Apartamento com 2 quartos à venda por R$ 218.990 - Pitimbu - Natal/RN;218990;0;0;49;1;empty;Área de serviço, Piscina;Elevador, Piscina;59067400;Natal;Pitimbu;Avenida dos Caiapós;2
Apartamento com 2 quartos à venda, 42 m² por R$ 182.990 - Pajuçara - Natal/RN;182990;0;0;42;1;1;Área de serviço, Churrasqueira, Piscina;Piscina;59133090;Natal;Pajuçara;Avenida Moema Tinoco da Cunha Lima;2
Apartamento com 2 dormitórios à venda, 41 m² por R$ 194.990,00 - Pajuçara - Natal/RN;194990;0;0;42;1;1;Churrasqueira, Varanda, Piscina;Piscina;59133090;Natal;Pajuçara;Avenida Moema Tinoco da Cunha Lima;2
Apartamento com 2 dormitórios à venda, 47 m² por R$ 236.990,00 - Cidade Satélite - Natal/R;236990;0;0;47;1;2;Área de serviço, Piscina, Churrasqueira;Piscina, Elevador;59067400;Natal;Pitimbu;Avenida dos Caiapós;2
Apartamento com 4 dormitórios à venda, 175 m² por R$ 580.000,00 - Petrópolis - Natal/RN;580000;1100;2000;176;3;2;Piscina, Área de serviço;Condomínio fechado, Elevador, Piscina;59020250;Natal;Petrópolis;Rua Mipibu - até 729/730;4
Apartamento com 3 dormitórios, 90 m² - venda por R$ 420.000 ou aluguel por R$ 2.400/ano -;420000;432;1889;90;1;2;Churrasqueira, Área de serviço, Piscina;Elevador, Piscina;59063400;Natal;Lagoa Nova;Avenida Capitão-mor Gouveia - de 3333 a 4479 - lado ímpar;3
Apartamento com 3 dormitórios à venda, 90 m² por R$ 440.000 - Lagoa Nova - Natal/RN;440000;635;2190;90;1;2;Churrasqueira, Área de serviço, Piscina, Ar condicionado;Elevador, Piscina;59054550;Natal;Lagoa Nova;Rua dos Tororós;3
APARTAMENTO 3 SUÍTES NO RESIDENCIAL DIEGO VELAZQUEZ- LAGOA NOVA.;830000;0;0;127;3;2;Churrasqueira, Varanda, Academia, Piscina;Elevador, Permitido animais, Academia, Piscina, Condomínio fechado;59075760;Natal;Lagoa Nova;Rua Padre João Damasceno;3
Apartamento para venda Tirol 4 suítes;800000;1500;0;206;5 ou mais;3;Armários na cozinha, Quarto de serviço, Varanda, Área de serviço, Ar condicionado, Piscina, Armários embutidos;Piscina, Elevador, Portaria, Permitido animais, Condomínio fechado, Salão de festas;59015120;Natal;Tirol;Rua General Oliveira Galvão;4
Oportunidade! Apart no sun set;215000;250;0;57;2;1;Piscina, Armários na cozinha, Área de serviço, Academia, Varanda;Academia, Salão de festas, Permitido animais, Elevador, Piscina, Condomínio fechado, Portaria;59091130;Natal;Ponta Negra;Rua Joaquim Eduardo de Farias;2
Residencial Carmel - Lagoa Nova;309000;0;0;57;2;empty;empty;empty;59062070;Natal;Nossa Senhora de Nazaré;Rua Eletricista João Trajano da Silva;2
Residencial Carmel - Lagoa Nova;309000;0;0;57;2;empty;empty;empty;59062070;Natal;Nossa Senhora de Nazaré;Rua Eletricista João Trajano da Silva;2
Lançamento Natal Lagoa Nova - Les Amis - 2 ou 3 Dorm. - 61 m2 à 98m2- Reserve Aqui!;387000;0;0;61;1;1;Varanda, Área de serviço;empty;59054571;Natal;Lagoa Nova;1ª Travessa São Pedro;2
Apartamento com 66m², 3 quartos e muito bem localizado em Lagoa Nova - Natal - RN;230000;540;0;66;1;1;Ar condicionado;Portaria, Permitido animais, Condomínio fechado, Elevador;59056100;Natal;Lagoa Nova;Rua Romualdo Galvão - de 1358 a 1666 - lado par;3
Apartamento para venda tem 198 metros quadrados com 4 quartos em Tirol - Natal - RN;600000;0;4500;198;5 ou mais;3;Armários na cozinha, Varanda, Área de serviço, Piscina;Portaria, Piscina, Condomínio fechado, Elevador, Permitido animais, Salão de festas;59022255;Natal;Tirol;Travessa Dom José Tomaz;4
Apartamento para venda possui 222 metros quadrados com 4 quartos em Tirol - Natal - RN;1899900;873;6000;222;5 ou mais;4;Churrasqueira, Piscina, Academia, Varanda;Academia, Permitido animais, Elevador, Portaria, Condomínio fechado, Piscina, Salão de festas;59015000;Natal;Tirol;Avenida Senador Salgado Filho - lado ímpar;4
Apartamento com 3 Quartos e 4 banheiros à Venda, 136 m² por R$ 820.000;820000;1085;0;136;4;3;empty;empty;59015080;Natal;Tirol;Rua Souza Machado;3
Natal - Apartamento Padrão - Tirol;650000;1437;5568;221;4;2;Área de serviço;empty;59015350;Natal;Tirol;Avenida Almirante Alexandrino de Alencar;4
Cobertura duplex à venda 105m2  com 2 quartos em Ponta Negra - Natal - RN;900000;0;0;105;2;2;Ar condicionado, Churrasqueira, Mobiliado, Piscina;Piscina, Portaria, Condomínio fechado, Elevador, Salão de festas, Permitido animais;59090400;Natal;Ponta Negra;Avenida Estrela do Mar;2
Apartamento para venda tem 50 metros quadrados com 2 quartos em Cidade da Esperança - Nata;129900;200;600;50;1;1;empty;Condomínio fechado, Permitido animais, Portaria;59070600;Natal;Cidade da Esperança;empty;2
Apartamento com VISTA MAR em Ponta Negra - Natal - RN;290000;363;1566;56;2;1;Churrasqueira, Piscina;Portaria, Salão de festas, Condomínio fechado, Piscina, Permitido animais;59090515;Natal;Ponta Negra;Rua do Golfinho;2
Apartamento com 4 dormitórios à venda, 164 m² por R$ 1.400.000,00 - Lagoa Nova - Natal/RN;1400000;900;0;165;5 ou mais;3;Academia, Piscina, Varanda, Área de serviço;Academia, Piscina;59056190;Natal;Lagoa Nova;Rua Antídio de Azevedo;4
Apartamento 2/4 no Bairro de Capim Macio Natal RN;154000;345;1000;56;1;1;Armários na cozinha, Piscina, Varanda, Área de serviço;Piscina, Permitido animais, Condomínio fechado, Portaria, Salão de festas;59082180;Natal;Capim Macio;Rua Professora Dirce Coutinho;2
Apto duplex cobertura no Tirol;2000000;2000;0;568;5 ou mais;4;Quarto de serviço, Mobiliado, Armários embutidos, Área de serviço, Churrasqueira, Academia, Ar condicionado, Piscina, Varanda, Armários na cozinha;Piscina, Academia, Permitido animais, Elevador, Condomínio fechado, Salão de festas, Portaria;59020058;Natal;Petrópolis;Avenida Rodrigues Alves - até 599/600;5 ou mais
Praia de Ponta Negra, Vista Mar Frontal, 2 quartos (uma Suite) com varanda, mobiliado e de;295000;600;2500;55;2;1;Churrasqueira, Piscina, Ar condicionado, Mobiliado;Piscina, Portaria, Condomínio fechado, Permitido animais, Elevador;59090050;Natal;Ponta Negra;Rua Francisco Gurgel;2
Flat pra venda em Ponta Negra Natal RN;290000;750;1100;36;1;1;Mobiliado, Ar condicionado, Piscina;Permitido animais, Piscina;59090177;Natal;Ponta Negra;Rua Altemar Dutra;1
Praia Calma Premium Flat, mobiliado - Ponta Negra;400000;477;1200;43;1;1;Piscina, Ar condicionado, Mobiliado;Condomínio fechado, Piscina, Permitido animais, Elevador;59090410;Natal;Ponta Negra;Rua das Algas;1
Apartamento para venda tem 56 metros quadrados com 2 quartos em Planalto - Natal - RN;120000;200;0;56;1;1;Piscina, Área de serviço;Condomínio fechado, Piscina, Permitido animais;59073140;Natal;Planalto;Rua Santa Quitéria;2
Villagio De Roma na Av Romualdo Galvão, 3Qts 2Vagas - apto nascente;240000;0;0;72;2;empty;empty;Condomínio fechado;59075750;Natal;Lagoa Nova;Rua Romualdo Galvão - de 2287 ao fim - lado ímpar;3
Excelente Flat no Quality Hotel em Ponta Negra com 39 m².;199999;463;570;39;1;1;Área de serviço, Armários embutidos, Academia, Piscina;Academia, Portaria, Piscina, Condomínio fechado, Permitido animais, Salão de festas, Elevador;59090425;Natal;Ponta Negra;Avenida Engenheiro Roberto Freire - de 4738 a 5018 - lado par;1
Apartamento para venda tem 163 metros quadrados com 3 quartos em Capim Macio - Natal - RN;716118;0;0;163;3;2;Churrasqueira, Piscina, Varanda, Área de serviço, Academia;Piscina, Salão de festas, Condomínio fechado, Academia, Elevador;59082015;Natal;Capim Macio;Rua Jornalista Alexis Gurgel;3
Apartamento para venda tem 113m em lagoa nova;665000;770;0;113;4;2;Churrasqueira, Piscina;Piscina, Condomínio fechado, Salão de festas, Permitido animais, Elevador;59062360;Natal;Lagoa Nova;Rua Doutor Antônio Severiano da Câmara;3
APARTAMENTO  A VENDA VISTA MAR EM PONTA NEGRA, Natal - RN;259000;450;0;59;2;1;Churrasqueira, Piscina;Condomínio fechado, Elevador, Salão de festas, Piscina, Portaria;59090480;Natal;Ponta Negra;Rua da Campina;2
LINDO FLAT VISTA MAR EM PONTA NEGRA;235000;300;0;27;1;1;Mobiliado, Piscina, Ar condicionado;Elevador, Piscina, Portaria;59092300;Natal;Ponta Negra;Avenida Praia de Pirangi;1
Apartamento para venda com 101 metros quadrados com 3 quartos em Ponta Negra - Natal - RN;650000;0;0;101;3;empty;Varanda;empty;59092500;Natal;Ponta Negra;Avenida Deputado Antônio Florêncio de Queiroz;3
Flat para Venda em Natal, Ponta Negra, 2 dormitórios, 1 banheiro, 1 vaga;270000;550;0;56;1;1;empty;empty;59090020;Natal;Ponta Negra;Rua Sergipe;2
Apartamento Exclusivo, com 270 m2, bem distribuídos com 4 quartos sendo 3 suítes em Lagoa;899000;1800;5000;270;5 ou mais;3;Ar condicionado, Churrasqueira, Academia, Piscina;Piscina, Academia, Portaria, Permitido animais, Elevador, Condomínio fechado, Salão de festas;59056285;Natal;Lagoa Nova;Avenida Antônio Basílio - de 3412 a 4082 - lado par;4
